chave_estavel,codigo,codigo_original,descricao,ordem,tipo,folha_mensuravel
d1eb2528-10b8-5abd-b303-e6302dd4f2c4,SINAPI:92514,92514,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 4 UTILIZAÇÕES. AF_09/2020",95,item,True
57ab1f36-9b4d-5867-90c4-3efe02fc68f4,SINAPI:92771,92771,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",96,item,True
06cc661d-b824-51c3-b959-59dcecdc209a,SINAPI:92772,92772,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",97,item,True
cff7cf90-2083-5b47-a4f4-89c6822995bb,SINAPI:92773,92773,"ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",98,item,True
a19c250f-d9be-551a-9a91-827899b63bd8,SINAPI:94966,94966,"CONCRETO FCK = 30MPA, TRAÇO 1:2,1:2,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",99,item,True
0af3407a-20aa-5ca2-9475-4e14b3cb4304,SINAPI:103673,103673,"LANÇAMENTO COM USO DE BOMBA, ADENSAMENTO E ACABAMENTO DE CONCRETO EM ESTRUTURAS. AF_02/2022",100,item,True
6281a18e-5ef4-5ad3-b79f-bf71374653cd,UFCA:F0001,F0001,"LAJE PRÉ-MOLDADA UNIDIRECIONAL, BIAPOIADA, ENCHIMENTO EM BLOCO CERÂMICO, VIGOTA TRELIÇADA, ALTURA TOTAL DA LAJE (ENCHIMENTO+CAPA) = (8+4)",101,item,True
189bb505-561b-5c62-8566-9ae7e0fc1345,UFCA:F0002,F0002,"LAJE PRÉ-MOLDADA UNIDIRECIONAL, BIAPOIADA, ENCHIMENTO EM BLOCO CERÂMICO, VIGOTA TRELIÇADA, ALTURA TOTAL DA LAJE (ENCHIMENTO+CAPA) = (12+4)",102,item,True
40e1cece-b29f-5d20-8f2c-23a1c87296e1,UFCA:F0003,F0003,"LAJE PRÉ-MOLDADA UNIDIRECIONAL, BIAPOIADA, ENCHIMENTO EM EPS, VIGOTA TRELIÇADA, ALTURA TOTAL DA LAJE (ENCHIMENTO+CAPA) = (20+5)",103,item,True
09661396-d38e-5bbe-b683-8aa74ab9c657,UFCA:F0004,F0004,"LAJE PRÉ-MOLDADA UNIDIRECIONAL, BIAPOIADA, ENCHIMENTO EM EPS, VIGOTA TRELIÇADA, ALTURA TOTAL DA LAJE (ENCHIMENTO+CAPA) = (16+4)",104,item,True
d08334bc-4cad-5b88-aa50-4cfc3073eaaf,SINAPI:92524,92524,"MONTAGEM E DESMONTAGEM DE FÔRMA DE LAJE MACIÇA, PÉ-DIREITO DUPLO, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 10 UTILIZAÇÕES. AF_09/2020",105,item,True
df64a4e1-6d25-551e-bb6e-62c9c17e87ec,,,ALVENARIA/VEDAÇÃO/DIVISÓRIA,106,grupo,False
c9d8ebfe-f63d-5b3d-b7c1-b55ce83ebed2,SINAPI:103328,103328,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,107,item,True
19368b4f-54ac-568c-b4e5-1c568353f6bc,SINAPI:103326,103326,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA VERTICAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,108,item,True
