,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00043681 ,SINAPI,"CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM",Material,,m²,"1,8629000","29,09","54,19"
Insumo, 00002370 ,SINAPI,"DISJUNTOR TIPO NEMA, MONOPOLAR 10 ATE 30A, TENSAO MAXIMA DE 240 V",Material,,UN,"0,0342000","8,72","0,29"
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"0,1026000","3,43","0,35"
Insumo, 00004408 ,SINAPI,"RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,8650000","2,21","1,91"
Insumo, 00002433 ,SINAPI,"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS",Material,,UN,"0,2735000","8,18","2,23"
Insumo, 00011484 ,SINAPI,"FECHADURA DE SOBREPOR PARA PORTAO, EM ACO INOX COM ACABAMENTO CROMADO, CAIXA DE 100 MM, INCLUINDO CHAVE TIPO CILINDRO",Material,,UN,"0,0342000","44,42","1,51"
Insumo, 00000939 ,SINAPI,"FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 2,5 MM2",Material,,M,"3,2100000","2,12","6,80"
Insumo, 00012128 ,SINAPI,"INTERRUPTOR SIMPLES 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"0,0684000","7,76","0,53"
Insumo, 00038194 ,SINAPI,"LAMPADA LED 10 W BIVOLT BRANCA, FORMATO TRADICIONAL (BASE E27)",Material,,UN,"0,1026000","4,11","0,42"
Insumo, 00005063 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 14 X 18 (1 1/2 X 14),Material,,KG,"0,1026000","13,04","1,33"
Insumo, I2429 ,SEINFRA,"TABUA DE VIROLA DE 12""x 1""",Material,,m²,"0,2051000","29,31","6,01"
Insumo, I2433 ,SEINFRA,"TARGETA DE FERRO 2""",Material,,UN,"0,1328000","4,70","0,62"
Insumo, I2440 ,SEINFRA,TELHA DE FIBROCIMENTO DE 4MM (0.50 x 2.44M),Material,,UN,"0,6838000","20,05","13,71"
Insumo, 00012147 ,SINAPI,"TOMADA 2P+T 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"0,1026000","11,53","1,18"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.10 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0048 ,Próprio,EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,SERP - SERVIÇOS PRELIMINARES,,M²,"1,0000000","226,68","226,68"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7705549","28,79","22,18"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1926387","29,21","5,62"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,9631937","23,37","22,50"
Composição Auxiliar, 94963 ,SINAPI,"CONCRETO FCK = 15MPA, TRAÇO 1:3,4:3,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0148000","390,16","5,77"
Composição Auxiliar, 98680 ,SINAPI,"PISO CIMENTADO, TRAÇO 1:3 (CIMENTO E AREIA), ACABAMENTO LISO, ESPESSURA 3,0 CM, PREPARO MECÂNICO DA ARGAMASSA. AF_09/2020",Pisos,,m²,"1,3839000","43,27","59,88"
Insumo, 00010422 ,SINAPI,"BACIA SANITARIA (VASO) COM CAIXA ACOPLADA, SIFAO APARENTE, DE LOUCA BRANCA (SEM ASSENTO)",Material,,UN,"0,0342000","328,98","11,25"
Insumo, I0197 ,SEINFRA,"BARROTE DE 2""x2""",Material,,M,"0,5962000","5,51","3,28"
Insumo, I0198 ,SEINFRA,"PONTALETE / BARROTE DE 3""x3"" - APARELHADO",Material,,M,"1,0940000","17,69","19,35"
Insumo, 00011712 ,SINAPI,"CAIXA SIFONADA, PVC, 150 X 150 X 50 MM, COM GRELHA QUADRADA, BRANCA (NBR 5688)",Material,,UN,"0,0684000","38,08","2,60"
Insumo, 00043681 ,SINAPI,"CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM",Material,,m²,"1,5952000","29,09","46,40"
Insumo, I0796 ,SEINFRA,CHUVEIRO PLASTICO,Material,,UN,"0,0684000","5,78","0,39"
Insumo, 00006141 ,SINAPI,"ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 30 CM",Material,,UN,"0,0342000","4,84","0,16"
