,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"0,1026000","3,43","0,35"
Insumo, 00004408 ,SINAPI,"RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,5566000","2,21","1,23"
Insumo, 00002433 ,SINAPI,"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS",Material,,UN,"0,1667000","8,18","1,36"
Insumo, 00010425 ,SINAPI,"LAVATORIO DE LOUCA BRANCA, SUSPENSO (SEM COLUNA), DIMENSOES *40 X 30* CM",Material,,UN,"0,0171000","79,68","1,36"
Insumo, 00000939 ,SINAPI,"FIO DE COBRE, SOLIDO, CLASSE 1, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 450/750V, SECAO NOMINAL 2,5 MM2",Material,,M,"2,1800000","2,12","4,62"
Insumo, 00006016 ,SINAPI,"REGISTRO GAVETA BRUTO EM LATAO FORJADO, BITOLA 3/4""",Material,,UN,"0,0342000","28,20","0,96"
Insumo, 00038194 ,SINAPI,"LAMPADA LED 10 W BIVOLT BRANCA, FORMATO TRADICIONAL (BASE E27)",Material,,UN,"0,0684000","4,11","0,28"
Insumo, 00005063 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 14 X 18 (1 1/2 X 14),Material,,KG,"0,0684000","13,04","0,89"
Insumo, I2429 ,SEINFRA,"TABUA DE VIROLA DE 12""x 1""",Material,,m²,"0,0923000","29,31","2,70"
Insumo, I2433 ,SEINFRA,"TARGETA DE FERRO 2""",Material,,UN,"0,1026000","4,70","0,48"
Insumo, I2440 ,SEINFRA,TELHA DE FIBROCIMENTO DE 4MM (0.50 x 2.44M),Material,,UN,"0,3590000","20,05","7,19"
Insumo, 00007602 ,SINAPI,"TORNEIRA DE METAL AMARELO, PARA TANQUE / JARDIM, DE PAREDE, COM BICO PLASTICO, CANO CURTO, AREA EXTERNA, PADRAO POPULAR / USO GERAL, 1/2"" OU 3/4""",Material,,UN,"0,0170000","35,22","0,59"
Insumo, 00009836 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 100 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"0,2051000","11,99","2,45"
Insumo, 00009835 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 40 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"0,2051000","5,24","1,07"
Insumo, 00009838 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 50 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"0,2051000","8,65","1,77"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.11 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0030 ,Próprio,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,SERP - SERVIÇOS PRELIMINARES,,M²,"1,0000000","426,91","426,91"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7859790","28,79","22,62"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,5719582","23,37","36,73"
Composição Auxiliar, 94962 ,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0100000","337,03","3,37"
Insumo, 00004417 ,SINAPI,"SARRAFO NAO APARELHADO *2,5 X 7* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM, PEROBA-ROSA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"1,0000000","6,31","6,31"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"4,0000000","9,17","36,68"
Insumo, 00004813 ,SINAPI,"PLACA DE OBRA (PARA CONSTRUCAO CIVIL) EM CHAPA GALVANIZADA *N. 22*, ADESIVADA, DE *2,4 X 1,2* M (SEM POSTES PARA FIXACAO)",Material,,m²,"1,0000000","320,00","320,00"
Insumo, 00005075 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 18 X 30 (2 3/4 X 10),Material,,KG,"0,1100000","10,93","1,20"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.12 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 98525 ,SINAPI,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",Supressão Vegetal,,m²,"1,0000000","0,54","0,54"
Composição Auxiliar, 88441 ,SINAPI,JARDINEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0025160","23,71","0,05"
Composição Auxiliar, 89031 ,SINAPI,"TRATOR DE ESTEIRAS, POTÊNCIA 100 HP, PESO OPERACIONAL 9,4 T, COM LÂMINA 2,19 M3 - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0029000","70,99","0,20"
Composição Auxiliar, 89032 ,SINAPI,"TRATOR DE ESTEIRAS, POTÊNCIA 100 HP, PESO OPERACIONAL 9,4 T, COM LÂMINA 2,19 M3 - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0017000","173,49","0,29"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.13 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 98459 ,SINAPI,TAPUME COM TELHA METÁLICA. AF_03/2024,Instalações para Canteiros de Obras,,m²,"1,0000000","79,19","79,19"
Composição Auxiliar, 88239 ,SINAPI,AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3849447","24,38","9,38"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5750697","28,79","16,55"
Composição Auxiliar, 91692 ,SINAPI,"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHP DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0066000","33,75","0,22"
Composição Auxiliar, 91693 ,SINAPI,"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHI DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0264000","32,69","0,86"
Composição Auxiliar, 94974 ,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MANUAL. AF_05/2021",Produção de Concreto,,m³,"0,0061000","416,89","2,54"
Insumo, 00004491 ,SINAPI,"PONTALETE *7,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"1,2273000","9,17","11,25"
Insumo, 00005061 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 18 X 27 (2 1/2 X 10),Material,,KG,"0,0680000","10,74","0,73"
Insumo, 00006194 ,SINAPI,"TABUA *2,5 X 15 CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"2,0000000","6,54","13,08"
Insumo, 00007243 ,SINAPI,"TELHA TRAPEZOIDAL EM ACO ZINCADO, SEM PINTURA, ALTURA DE APROXIMADAMENTE 40 MM, ESPESSURA DE 0,50 MM E LARGURA UTIL DE 980 MM",Material,,m²,"0,5853000","42,01","24,58"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.14 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0031 ,Próprio,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,SERP - SERVIÇOS PRELIMINARES,,M²,"1,0000000","0,22","0,22"
Composição Auxiliar, 90781 ,SINAPI,TOPOGRAFO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0016113","40,70","0,06"
Composição Auxiliar, 88288 ,SINAPI,NIVELADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0016113","18,49","0,02"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0032226","23,37","0,07"
Composição Auxiliar, 92145 ,SINAPI,"CAMINHONETE CABINE SIMPLES COM MOTOR 1.6 FLEX, CÂMBIO MANUAL, POTÊNCIA 101/104 CV, 2 PORTAS - CHP DIURNO. AF_11/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0010000","70,32","0,07"
Insumo, 00007247 ,SINAPI,"LOCACAO DE TEODOLITO ELETRONICO, PRECISAO ANGULAR DE 5 A 7 SEGUNDOS, INCLUINDO TRIPE",Equipamento,,H,"0,0020000","2,07","0,00"
Insumo, 00007252 ,SINAPI,"LOCACAO DE NIVEL OPTICO, COM PRECISAO DE 0,7 MM, AUMENTO DE 32X",Equipamento,,H,"0,0020000","2,07","0,00"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.15 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99059 ,SINAPI,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",Locação de Obras,,M,"1,0000000","54,74","54,74"
Composição Auxiliar, 88239 ,SINAPI,AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5710445","24,38","13,92"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,5710445","28,79","16,44"
Composição Auxiliar, 91692 ,SINAPI,"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHP DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0070000","33,75","0,23"
Composição Auxiliar, 91693 ,SINAPI,"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHI DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0280000","32,69","0,91"
Composição Auxiliar, 94974 ,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MANUAL. AF_05/2021",Produção de Concreto,,m³,"0,0040000","416,89","1,66"
Insumo, 00004417 ,SINAPI,"SARRAFO NAO APARELHADO *2,5 X 7* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM, PEROBA-ROSA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,7445000","6,31","4,69"
Insumo, 00004433 ,SINAPI,"CAIBRO NAO APARELHADO *6 X 6* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,4125000","22,68","9,35"
Insumo, 00005068 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 17 X 21 (2 X 11),Material,,KG,"0,1110000","10,93","1,21"
Insumo, 00007356 ,SINAPI,"TINTA LATEX ACRILICA PREMIUM, COR BRANCO FOSCO",Material,,L,"0,0256000","25,13","0,64"
Insumo, 00010567 ,SINAPI,"TABUA *2,5 X 23* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,5500000","10,36","5,69"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.16 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 98524 ,SINAPI,LIMPEZA MANUAL DE VEGETAÇÃO EM TERRENO COM ENXADA. AF_03/2024,Supressão Vegetal,,m²,"1,0000000","3,97","3,97"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1702120","23,37","3,97"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.17 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 100981 ,SINAPI,"CARGA, MANOBRA E DESCARGA DE ENTULHO EM CAMINHÃO BASCULANTE 6 M³ - CARGA COM ESCAVADEIRA HIDRÁULICA (CAÇAMBA DE 0,80 M³ / 111 HP) E DESCARGA LIVRE (UNIDADE: M3). AF_07/2020","Transporte, Carga e Descarga de Materiais",,m³,"1,0000000","8,42","8,42"
Composição Auxiliar, 5631 ,SINAPI,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0083000","185,35","1,53"
Composição Auxiliar, 5632 ,SINAPI,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0151000","81,21","1,22"
Composição Auxiliar, 67826 ,SINAPI,"CAMINHÃO BASCULANTE 6 M3 TOCO, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA 11.130 KG, DISTÂNCIA ENTRE EIXOS 5,36 M, POTÊNCIA 185 CV, INCLUSIVE CAÇAMBA METÁLICA - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0267000","166,40","4,44"
Composição Auxiliar, 67827 ,SINAPI,"CAMINHÃO BASCULANTE 6 M3 TOCO, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA 11.130 KG, DISTÂNCIA ENTRE EIXOS 5,36 M, POTÊNCIA 185 CV, INCLUSIVE CAÇAMBA METÁLICA - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0203000","61,06","1,23"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.18 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0037 ,Próprio,REMOÇÃO DE CERCAS,SEDI - SERVIÇOS DIVERSOS,,M²,"1,0000000","0,46","0,46"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0200670","23,37","0,46"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.19 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 95967 ,SINAPI,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,Livro SINAPI: Cálculos e Parâmetros,,H,"1,0000000","134,84","134,84"
Composição Auxiliar, 90776 ,SINAPI,ENCARREGADO GERAL COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7980704","27,44","21,89"
Composição Auxiliar, 90778 ,SINAPI,ENGENHEIRO CIVIL DE OBRA PLENO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7980704","141,54","112,95"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 3 ,,,MOVIMENTO DE TERRA,,,,,,
 3.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101136 ,SINAPI,"ESCAVAÇÃO HORIZONTAL, INCLUINDO CARGA, DESCARGA E TRANSPORTE EM SOLO DE 1A CATEGORIA COM TRATOR DE ESTEIRAS (170HP/LÂMINA: 5,20M3) E CAMINHÃO BASCULANTE DE 10M3, DMT ATÉ 200M. AF_07/2020",Escavação Horizontal,,m³,"1,0000000","12,26","12,26"
Composição Auxiliar, 100974 ,SINAPI,"CARGA, MANOBRA E DESCARGA DE SOLOS E MATERIAIS GRANULARES EM CAMINHÃO BASCULANTE 10 M³ - CARGA COM PÁ CARREGADEIRA (CAÇAMBA DE 1,7 A 2,8 M³ / 128 HP) E DESCARGA LIVRE (UNIDADE: M3). AF_07/2020","Transporte, Carga e Descarga de Materiais",,m³,"1,2500000","7,66","9,57"
Composição Auxiliar, 5847 ,SINAPI,"TRATOR DE ESTEIRAS, POTÊNCIA 170 HP, PESO OPERACIONAL 19 T, CAÇAMBA 5,2 M3 - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0048000","236,76","1,13"
Composição Auxiliar, 5849 ,SINAPI,"TRATOR DE ESTEIRAS, POTÊNCIA 170 HP, PESO OPERACIONAL 19 T, CAÇAMBA 5,2 M3 - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0082000","82,08","0,67"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0131000","23,37","0,30"
Composição Auxiliar, 93589 ,SINAPI,"TRANSPORTE COM CAMINHÃO BASCULANTE DE 10 M³, EM VIA URBANA EM REVESTIMENTO PRIMÁRIO (UNIDADE: M3XKM). AF_07/2020","Transporte, Carga e Descarga de Materiais",,M3XKM,"0,2500000","2,38","0,59"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 3.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 105564 ,SINAPI,"EXECUÇÃO E COMPACTAÇÃO DE CORPO DE ATERRO (95% DE ENERGIA DO PROCTOR NORMAL) COM SOLO PREDOMINANTEMENTE ARENOSO, EM CAMADAS COM ESPESSURA DE 20 CM - EXCLUSIVE ESCAVAÇÃO, CARGA E TRANSPORTE E SOLO. AF_09/2024","Aterros, Bases, Sub bases e Imprimações",,m³,"1,0000000","5,37","5,37"
Composição Auxiliar, 5901 ,SINAPI,"CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0042570","278,95","1,18"
Composição Auxiliar, 5903 ,SINAPI,"CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0102997","67,91","0,69"
Composição Auxiliar, 5932 ,SINAPI,"MOTONIVELADORA POTÊNCIA BÁSICA LÍQUIDA (PRIMEIRA MARCHA) 125 HP, PESO BRUTO 13032 KG, LARGURA DA LÂMINA DE 3,7 M - CHP DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0032569","238,17","0,77"
Composição Auxiliar, 5934 ,SINAPI,"MOTONIVELADORA POTÊNCIA BÁSICA LÍQUIDA (PRIMEIRA MARCHA) 125 HP, PESO BRUTO 13032 KG, LARGURA DA LÂMINA DE 3,7 M - CHI DIURNO. AF_06/2014",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0112998","99,66","1,12"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0015193","23,37","0,03"
Composição Auxiliar, 96463 ,SINAPI,"ROLO COMPACTADOR DE PNEUS, ESTÁTICO, PRESSÃO VARIÁVEL, POTÊNCIA 110 HP, PESO SEM/COM LASTRO 10,8/27 T, LARGURA DE ROLAGEM 2,30 M - CHP DIURNO. AF_06/2017",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0030360","195,93","0,59"
Composição Auxiliar, 96464 ,SINAPI,"ROLO COMPACTADOR DE PNEUS, ESTÁTICO, PRESSÃO VARIÁVEL, POTÊNCIA 110 HP, PESO SEM/COM LASTRO 10,8/27 T, LARGURA DE ROLAGEM 2,30 M - CHI DIURNO. AF_06/2017",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0115207","86,68","0,99"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 3.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 93358 ,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,Escavação de Valas,,m³,"1,0000000","73,77","73,77"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"3,1569648","23,37","73,77"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 4 ,,,INFRA-ESTRUTURA/FUNDAÇÕES SIMPLES,,,,,,
 4.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, D0001 ,Próprio,"ALVENARIA DE CONTENÇÃO EM PEDRA RACHÃO OU PEDRA DE MÃO, ASSENTADA COM ARGAMASSA 1:4 (CIMENTO AREIA)",SERP - SERVIÇOS PRELIMINARES,,M³,"1,0000000","369,59","369,59"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,6182075","29,21","47,26"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"2,2654759","23,37","52,94"
Composição Auxiliar, 88630 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA MÉDIA), PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,4412000","426,76","188,28"
Insumo, 00004730 ,SINAPI,"PEDRA DE MAO OU PEDRA RACHAO PARA ARRIMO/FUNDACAO (POSTO PEDREIRA/FORNECEDOR, SEM FRETE)",Material,,m³,"0,9500000","85,38","81,11"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 4.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101165 ,SINAPI,"ALVENARIA DE EMBASAMENTO COM BLOCO ESTRUTURAL DE CONCRETO, DE 14X19X29CM E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_05/2020",Alvenarias Diversas,,m³,"1,0000000","836,54","836,54"
Composição Auxiliar, 87292 ,SINAPI,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",Argamassas,,m³,"0,1300000","529,30","68,80"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"8,0699479","29,21","235,72"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"4,0353671","23,37","94,30"
Insumo, 00034566 ,SINAPI,"BLOCO DE CONCRETO ESTRUTURAL 14 X 19 X 29 CM, FBK 6 MPA (NBR 6136)",Material,,UN,"122,2700000","3,58","437,72"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 4.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 103685 ,SINAPI,"CONCRETAGEM DE MURETAS, FCK=25 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_02/2022_PS",Concretagem para Estruturas de Concreto Armado,,m³,"1,0000000","505,59","505,59"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1541877","28,79","4,43"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6159761","29,21","17,99"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6926826","23,37","16,18"
Composição Auxiliar, 90586 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHP DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0790000","1,06","0,08"
Composição Auxiliar, 90587 ,SINAPI,"VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHI DIURNO. AF_06/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1200000","0,42","0,05"
Insumo, 00001527 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C25, BRITA 0 E 1, SLUMP = 100 +/- 20 MM, COM BOMBEAMENTO (DISPONIBILIZACAO DE BOMBA), SEM O LANCAMENTO (NBR 8953)",Material,,m³,"1,1030000","423,27","466,86"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 4.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 102722 ,SINAPI,"DRENO EM MURO DE CONTENÇÃO, EXECUTADO NO PÉ DO MURO, COM TUBO DE PEAD CORRUGADO FLEXÍVEL PERFURADO, ENCHIMENTO COM BRITA, ENVOLVIDO COM MANTA GEOTÊXTIL. AF_07/2021",Drenos,,M,"1,0000000","45,47","45,47"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0311084","29,21","0,90"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0932483","23,37","2,17"
