,,,,,,,,,,,,,,,,,MOBRA,INSUMO,EQUIP,SERV,,
,,LETRA,GRUPO,FONTE,CODIGO DA COMPOSICAO,DESCRICAO DA COMPOSICAO,UN,TIPO ITEM,REFERÊNCIA,CODIGO ITEM,DESCRIÇÃO ITEM,UNIDADE,COEFICIENTE,PRECO UNITARIO,CUSTO TOTAL,% ENCARGOS SOCIAIS,CUSTO MAO DE OBRA,CUSTO MATERIAL,CUSTO EQUIPAMENTO,CUSTO SERVIÇO,PREÇO UNITÁRIO,COMPOSIÇÃO USADA COMO REFERÊNCIA E OBSERVAÇÕES
,,,,,,,,,,,,,,,,,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,43681,"CHAPA/PAINEL DE MADEIRA COMPENSADA RESINADA (MADEIRITE RESINADO ROSA) PARA FORMA DE CONCRETO, DE 2200 X 1100 MM, E = 8 A 12 MM                                                                                                                                                                                                                                                                                                                                                                            ",M2,"59,0000","36,57","2157,63",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SEINFRA,I0796,CHUVEIRO PLASTICO,UN,"1,0000","7,22","7,22",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,2370,"DISJUNTOR TIPO NEMA, MONOPOLAR 10 ATE 30A, TENSAO MAXIMA DE 240 V                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN,"1,0000","11,00","11,00",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,2674,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",M,"3,0000","5,19","15,57",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,6141,"ENGATE/RABICHO FLEXIVEL PLASTICO (PVC OU ABS) BRANCO 1/2"" X 30 CM                                                                                                                                                                                                                                                                                                                                                                                                                                         ",UN,"1,0000","6,05","6,05",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,10425,"LAVATORIO DE LOUCA BRANCA, SUSPENSO (SEM COLUNA), DIMENSOES *40 X 30* CM                                                                                                                                                                                                                                                                                                                                                                                                                                  ",UN,"1,0000","95,07","95,07",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,6016,"REGISTRO GAVETA BRUTO EM LATAO FORJADO, BITOLA 3/4"" (REF 1509)                                                                                                                                                                                                                                                                                                                                                                                                                                            ",UN,"1,0000","35,25","35,25",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,4408,"RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA                                                                                                                                                                                                                                                                                                                                                                                                  ",M,"25,3000","2,57","65,02",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,9868,"TUBO PVC, SOLDAVEL, DE 25 MM, AGUA FRIA (NBR-5648)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",M,"6,0000","4,04","24,24",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,2433,"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS                                                                                                                                                                                                                                                                                                                                                                                            ",UN,"3,0000","11,43","34,29",,,,,,,
HEAD3,,B,SERVIÇOS PRELIMINARES/TÉCNICOS,UFCA,B0045,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN ,INSUMO,SINAPI,11484,"FECHADURA DE SOBREPOR PARA PORTAO, EM ACO INOX COM ACABAMENTO CROMADO, CAIXA DE 100 MM, INCLUINDO CHAVE TIPO CILINDRO                                                                                                                                                                                                                                                                                                                                                                                     ",UN,"3,0000","56,79","170,37",,,,,,,
