,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
12.3.7,L0009,UFCA,"BANCADA GRANITO CINZA,  50 X 60 CM, INCLUSIVE CUBA DE EMBUTIR OVAL LOUÇA BRANCA 35 X 50 CM, VÁLVULA METAL CROMADO, SIFÃO FLEXÍVEL PVC, ENGATE 30 CM FLEXÍVEL PLÁSTICO E TORNEIRA CROMADA DE MESA PARA LAVATÓRIO TEMPORIZADA PRESSÃO BICA BAIXA - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 622,69","12,00","R$ 7.472,28","R$ 9.075,08",,,,,,
12.3.8,L0011,UFCA,"TANQUE DE LOUÇA BRANCA SUSPENSO, INCLUSIVE TORNEIRA.",UN,"R$ 630,15","1,00","R$ 630,15","R$ 765,31",,,,,,
12.3.9,L0012,UFCA,"LAVATÓRIO SUSPENSO SEM COLUNA, 465 MM X 340 MM, INCLUSO, VÁLVULA METAL CROMADO, SIFÃO FLEXÍVEL PVC, ENGATE 30 CM FLEXÍVEL PLÁSTICO E TORNEIRA CLINICA ALAVANCA MESA BICA ALTA MÓVEL COM AREJADOR - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 301,42","4,00","R$ 1.205,68","R$ 1.464,29",,,,,,
13.0,,,"IMPERMEABILIZAÇÃO, ISOLAÇÃO TÉRMICA E ACÚSTICA",,,,,,,"R$ 16.615,64","R$ 20.179,68",,,
13.1,98555,SINAPI,"IMPERMEABILIZAÇÃO DE SUPERFÍCIE COM ARGAMASSA POLIMÉRICA / MEMBRANA ACRÍLICA, 3 DEMÃOS. AF_09/2023",M2,"R$ 29,75","109,89","R$ 3.269,22","R$ 3.970,46",,,,,,
13.2,M0001,UFCA,"IMPERMEABILIZAÇÃO DE SUPERFÍCIE COM MANTA ASFALTICA ELASTOMERICA EM POLIESTER ALUMINIZADA 4 MM, TIPO III, CLASSE B (NBR 9952)",M2,"R$ 71,96","185,47","R$ 13.346,42","R$ 16.209,22",,,,,,
14.0,,,INSTALAÇÕES DE COMBATE A INCÊNDIO,,,,,,,"R$ 39.217,93","R$ 47.630,00",,,
14.1,,,SISTEMA DE COMBATE A INCÊNDIO,,,,,,,,,,,
14.1.1,,,SISTEMA DE EXTINTORES,,,,,,,,,,,
14.1.1.1,101909,SINAPI,"EXTINTOR DE INCÊNDIO PORTÁTIL COM CARGA DE PQS DE 6 KG, CLASSE BC - FORNECIMENTO E INSTALAÇÃO. AF_10/2020_PE",UN,"R$ 258,65","8,00","R$ 2.069,20","R$ 2.513,04",,,,,,
14.1.2,,,SISTEMA DE HIDRANTES - CAIXAS,,,,,,,,,,,
14.1.2.1,N0101,UFCA,"ABRIGO PARA HIDRANTE, 90X60X30CM, COM REGISTRO GLOBO ANGULAR 45 GRAUS 2 1/2"" E ADAPTADOR ENGATE RÁPIDO EM LATÃO 2 1/2"" X 1 1/2"" - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 803,64","2,00","R$ 1.607,28","R$ 1.952,04",,,,,,
14.1.2.2,N0102,UFCA,"2 MANGUEIRAS DE INCÊNDIO TIPO 2 15M 1 1/2"" E ESGUICHO REGULÁVEL EM LATÃO 1 1/2"" - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 1.271,61","2,00","R$ 2.543,22","R$ 3.088,74",,,,,,
14.1.2.3,N0103,UFCA,"HIDRANTE DE RECALQUE COM TAMPA EM FERRO FUNDIDO 40X60CM, REGISTRO GLOBO 2 1/2"", ADAPTADOR ENGATE RÁPIDO EM LATÃO 2 1/2"" E TAMPÃO ENGATE RÁPIDO EM LATÃO 2 1/2"" - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 818,05","1,00","R$ 818,05","R$ 993,52",,,,,,
14.1.3,,,SISTEMA DE HIDRANTES - TUBOS E CONEXÕES,,,,,,,,,,,
14.1.3.1,92347,SINAPI,"LUVA, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM PRUMADAS - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 87,00","7,00","R$ 609,00","R$ 739,63",,,,,,
14.1.3.2,92367,SINAPI,"TUBO DE AÇO GALVANIZADO COM COSTURA, CLASSE MÉDIA, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",M,"R$ 88,04","96,00","R$ 8.451,84","R$ 10.264,75",,,,,,
14.1.3.3,92377,SINAPI,"NIPLE, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 79,29","5,00","R$ 396,45","R$ 481,48",,,,,,
14.1.3.4,92378,SINAPI,"LUVA, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 88,44","15,00","R$ 1.326,60","R$ 1.611,15",,,,,,
14.1.3.5,92390,SINAPI,"JOELHO 90 GRAUS, EM FERRO GALVANIZADO, DN 65 (2 1/2""), CONEXÃO ROSQUEADA, INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 127,67","13,00","R$ 1.659,71","R$ 2.015,71",,,,,,
14.1.3.6,92642,SINAPI,"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 (2 1/2""), INSTALADO EM REDE DE ALIMENTAÇÃO PARA HIDRANTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 174,65","6,00","R$ 1.047,90","R$ 1.272,67",,,,,,
14.1.4,,,SISTEMA DE HIDRANTES - VÁLVULAS E REGISTROS,,,,,,,,,,,
14.1.4.1,94499,SINAPI,"REGISTRO DE GAVETA BRUTO, LATÃO, ROSCÁVEL, 2 1/2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 240,08","4,00","R$ 960,32","R$ 1.166,30",,,,,,
14.1.4.2,99624,SINAPI,"VÁLVULA DE RETENÇÃO HORIZONTAL, DE BRONZE, ROSCÁVEL, 2 1/2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 512,65","4,00","R$ 2.050,60","R$ 2.490,45",,,,,,
14.1.4.3,103009,SINAPI,"VÁLVULA DE RETENÇÃO VERTICAL, DE BRONZE, ROSCÁVEL, 2 1/2"" - FORNECIMENTO E INSTALAÇÃO. AF_08/2021",UN,"R$ 325,41","1,00","R$ 325,41","R$ 395,21",,,,,,
14.1.4.4,101917,SINAPI,"MANÔMETRO 0 A 200 PSI (0 A 14 KGF/CM2), D = 50MM - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 134,44","1,00","R$ 134,44","R$ 163,27",,,,,,
14.1.5,,,SISTEMA DE HIDRANTES - BOMBAS,,,,,,,,,,,
14.1.5.1,102118,SINAPI,"BOMBA CENTRÍFUGA, TRIFÁSICA, 3 CV OU 2,96 HP, HM 34 A 40 M, Q 8,6 A 14,8 M3/H - FORNECIMENTO E INSTALAÇÃO. AF_12/2020",UN,"R$ 2.077,13","1,00","R$ 2.077,13","R$ 2.522,67",,,,,,
14.1.5.2,N0110,UFCA,CHAVE DE FLUXO TIPO PALHETA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 155,83","1,00","R$ 155,83","R$ 189,25",,,,,,
14.1.5.3,N0111,UFCA,BASE PARA BOMBA EM CONCRETO 40X30X15CM COM BARRAS ROSCADAS PARA FIXAÇÃO DA BOMBA,UN,"R$ 42,13","2,00","R$ 84,26","R$ 102,33",,,,,,
14.1.6,,,SISTEMA DE HIDRANTES - FIXAÇÕES,,,,,,,,,,,
14.1.6.1,90455,SINAPI,"PASSANTE TIPO TUBO COM DIÂMETRO DE 100 MM, FIXADO EM LAJE, PARA PASSAGEM DE TUBULAÇÕES COM NO MÁXIMO 75 MM DE DIÂMETRO. AF_09/2023",UN,"R$ 6,47","2,00","R$ 12,94","R$ 15,71",,,,,,
14.1.6.2,N0112,UFCA,"FIXAÇÃO DE TUBO DE AÇO, DIÂMETRO 2 1/2"", EM LAJE, COM ABRAÇADEIRA TIPO GOTA E BARRA ROSCADA 3/8""",UN,"R$ 19,73","3,00","R$ 59,19","R$ 71,88",,,,,,
14.1.6.3,N0113,UFCA,"FIXAÇÃO DE TUBO DE AÇO, DIÂMETRO 2 1/2"", EM LAJE, COM ABRAÇADEIRA TIPO ""U"" REFORÇADA",UN,"R$ 19,03","2,00","R$ 38,06","R$ 46,22",,,,,,
14.1.7,,,SISTEMA DE HIDRANTES - ESCAVAÇÃO E REATERRO DE VALAS,,,,,,,,,,,
14.1.7.1,99063,SINAPI,LOCAÇÃO DE REDE DE ÁGUA OU ESGOTO. AF_03/2024,M,"R$ 7,69","96,00","R$ 738,24","R$ 896,59",,,,,,
14.1.7.2,90105,SINAPI,"ESCAVAÇÃO MECANIZADA DE VALA COM PROFUNDIDADE ATÉ 1,5 M (MÉDIA MONTANTE E JUSANTE/UMA COMPOSIÇÃO POR TRECHO), RETROESCAV. (0,26 M3), LARGURA MENOR QUE 0,8 M, EM SOLO DE 1A CATEGORIA, LOCAIS COM BAIXO NÍVEL DE INTERFERÊNCIA. AF_09/2024",M3,"R$ 7,49","15,95","R$ 119,46","R$ 145,08",,,,,,
14.1.7.3,93378,SINAPI,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA ATÉ 0,8 M, PROFUNDIDADE ATÉ 1,5 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",M3,"R$ 22,65","15,84","R$ 358,77","R$ 435,72",,,,,,
14.1.8,,,SISTEMA DE HIDRANTES - PINTURA,,,,,,,,,,,
14.1.8.1,100717,SINAPI,LIXAMENTO MANUAL EM SUPERFÍCIES METÁLICAS EM OBRA. AF_01/2020,M2,"R$ 7,89","23,82","R$ 187,93","R$ 228,24",,,,,,
14.1.8.2,100718,SINAPI,COLOCAÇÃO DE FITA PROTETORA PARA PINTURA. AF_01/2020,M,"R$ 1,14","13,75","R$ 15,67","R$ 19,03",,,,,,
14.1.8.3,100722,SINAPI,PINTURA COM TINTA ALQUÍDICA DE FUNDO (TIPO ZARCÃO) APLICADA A ROLO OU PINCEL SOBRE SUPERFÍCIES METÁLICAS (EXCETO PERFIL) EXECUTADO EM OBRA (POR DEMÃO). AF_01/2020,M2,"R$ 20,09","23,64","R$ 474,92","R$ 576,79",,,,,,
14.1.8.4,100760,SINAPI,PINTURA COM TINTA ALQUÍDICA DE ACABAMENTO (ESMALTE SINTÉTICO BRILHANTE) APLICADA A ROLO OU PINCEL SOBRE SUPERFÍCIES METÁLICAS (EXCETO PERFIL) EXECUTADO EM OBRA (02 DEMÃOS). AF_01/2020,M2,"R$ 40,75","23,64","R$ 963,33","R$ 1.169,96",,,,,,
14.1.8.5,N0114,UFCA,PINTURA COM TINTA BETUMINOSA APLICADA A ROLO OU PINCEL SOBRE TUBULAÇÕES METÁLICAS (02 DEMÃOS),M2,"R$ 36,33","19,65","R$ 713,88","R$ 867,00",,,,,,
14.1.9,,,SISTEMA DE SINALIZAÇÃO,,,,,,,,,,,
14.1.9.1,N0115,UFCA,"PLACA DE SINALIZAÇÃO DE EMERGÊNCIA, FOTOLUMINESCENTE, 12 X 24 CM, EM PVC 2 MM ANTI-CHAMAS - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 17,29","11,00","R$ 190,19","R$ 230,98",,,,,,
14.1.9.2,N0117,UFCA,"PLACA DE SINALIZAÇÃO DE EMERGÊNCIA, FOTOLUMINESCENTE, 15 X 15 CM, EM PVC 2 MM ANTI-CHAMAS - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 11,83","20,00","R$ 236,60","R$ 287,35",,,,,,
14.2,,,SISTEMA DE ALARME DE INCÊNDIO,,,,,,,,,,,
14.2.1,,,EQUIPAMENTOS,,,,,,,,,,,
14.2.1.1,N0011,UFCA,"CENTRAL DE ALARME ENDEREÇÁVEL DE INCÊNDIO COM SISTEMA P/ ATÉ 250 DISPOSITIVOS, MARCAL VERIN OU SIMILAR, MODELO VRE-250 C/ BATERIA DE 12V E 7AMPERES",UN,"R$ 5.238,21","1,00","R$ 5.238,21","R$ 6.361,80",,,,,,
14.2.1.2,N0049,UFCA,"ACIONADOR MANUAL, TIPO ""QUEBRA VIDRO"" - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 77,57","4,00","R$ 310,28","R$ 376,83",,,,,,
14.2.1.3,N0050,UFCA,SIRENE AUDIOVISUAL 120 DB - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 210,07","4,00","R$ 840,28","R$ 1.020,52",,,,,,
14.2.2,,,CABOS E CONDULETES,,,,,,,,,,,
14.2.2.1,N0051,UFCA,"CABO BLINDADO PARA ALARME E DETECÇÃO DE INCÊNDIO 2 X 1,5MM² - FORNECIMENTO E INSTALAÇÃO",M,"R$ 9,50","81,60","R$ 775,20","R$ 941,48",,,,,,
14.2.2.2,95781,SINAPI,"CONDULETE DE ALUMÍNIO, TIPO C, PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1''), APARENTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2022",UN,"R$ 28,71","3,00","R$ 86,13","R$ 104,60",,,,,,
14.2.2.3,95802,SINAPI,"CONDULETE DE ALUMÍNIO, TIPO X, PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1''), APARENTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2022",UN,"R$ 40,23","5,00","R$ 201,15","R$ 244,29",,,,,,
14.2.2.4,95796,SINAPI,"CONDULETE DE ALUMÍNIO, TIPO T, PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1''), APARENTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2022",UN,"R$ 38,04","2,00","R$ 76,08","R$ 92,39",,,,,,
14.2.3,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
14.2.3.1,J0202,UFCA,"ELETRODUTO DE AÇO GALVANIZADO, MÉDIO, DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO",M,"R$ 17,73","34,95","R$ 619,66","R$ 752,57",,,,,,
14.2.3.2,J0203,UFCA,LUVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 10,34","18,00","R$ 186,12","R$ 226,04",,,,,,
14.2.3.3,J0204,UFCA,CURVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 19,32","8,00","R$ 154,56","R$ 187,71",,,,,,
14.2.3.4,104785,SINAPI,"FIXAÇÃO DE ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO D COM PARAFUSO DE FIXAÇÃO 1 1/4"", FIXADA DIRETAMENTE NA LAJE OU PAREDE. AF_09/2023",M,"R$ 12,66","24,00","R$ 303,84","R$ 369,01",,,,,,
15.0,,,REVESTIMENTOS,,,,,,,"R$ 163.757,32","R$ 198.883,18",,,
15.1,87879,SINAPI,"CHAPISCO APLICADO EM ALVENARIAS E ESTRUTURAS DE CONCRETO INTERNAS, COM COLHER DE PEDREIRO. ARGAMASSA TRAÇO 1:3 COM PREPARO EM BETONEIRA 400L. AF_10/2022",M2,"R$ 3,68","2093,58","R$ 7.704,37","R$ 9.356,95",,,,,,
15.10,87775,SINAPI,"EMBOÇO OU MASSA ÚNICA EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO COM BETONEIRA 400 L, APLICADA MANUALMENTE EM PANOS DE FACHADA COM PRESENÇA DE VÃOS, ESPESSURA DE 25 MM. AF_08/2022",M2,"R$ 45,97","661,46","R$ 30.407,31","R$ 36.929,67",,,,,,
15.11,87792,SINAPI,"EMBOÇO OU MASSA ÚNICA EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO COM BETONEIRA 400 L, APLICADA MANUALMENTE EM PANOS CEGOS DE FACHADA (SEM PRESENÇA DE VÃOS), ESPESSURA DE 25 MM. AF_08/2022",M2,"R$ 33,82","880,68","R$ 29.784,59","R$ 36.173,38",,,,,,
15.12,L0003,UFCA,CANTONEIRA DE ALUMÍNIO P/ AZULEJOS (INSTALADA),M,"R$ 25,21","33,60","R$ 847,05","R$ 1.028,74",,,,,,
15.13,87273,SINAPI,REVESTIMENTO CERÂMICO PARA PAREDES INTERNAS COM PLACAS TIPO ESMALTADA DE DIMENSÕES 33X45 CM APLICADAS NA ALTURA INTEIRA DAS PAREDES. AF_02/2023_PE,M2,"R$ 59,74","338,12","R$ 20.199,28","R$ 24.532,02",,,,,,
15.14,O0005,UFCA,"PAINEL RIPADO EM MADEIRA LAMINADA DE MDF 15 MM SOBRE CHAPA MDF 18 MM PARAFUSADA EM RIPAS DE 2,5X5 CM FIXADAS EM ALVENARIA",M2,"R$ 219,30","8,01","R$ 1.756,59","R$ 2.133,37",,,,,,
15.15,O0006,UFCA,"PAINEL PLANO EM MADEIRA LAMINADA DE MDF 18 MM PARAFUSADA EM RIPAS DE 2,5X5 CM FIXADAS EM ALVENARIA",M2,"R$ 136,74","4,94","R$ 675,49","R$ 820,38",,,,,,
15.16,O0007,UFCA,ADESIVAGEM DE VIDRO OU PAREDE COM VINIL AUTOADESIVO,M2,"R$ 107,43","14,15","R$ 1.520,13","R$ 1.846,19",,,,,,
15.2,87882,SINAPI,"CHAPISCO APLICADO NO TETO OU EM ALVENARIA E ESTRUTURA, COM ROLO PARA TEXTURA ACRÍLICA. ARGAMASSA TRAÇO 1:4 E EMULSÃO POLIMÉRICA (ADESIVO) COM PREPARO EM BETONEIRA 400L. AF_10/2022",M2,"R$ 4,94","160,56","R$ 793,16","R$ 963,29",,,,,,
15.3,87894,SINAPI,"CHAPISCO APLICADO EM ALVENARIA (SEM PRESENÇA DE VÃOS) E ESTRUTURAS DE CONCRETO DE FACHADA, COM COLHER DE PEDREIRO. ARGAMASSA TRAÇO 1:3 COM PREPARO EM BETONEIRA 400L. AF_10/2022",M2,"R$ 5,74","880,68","R$ 5.055,10","R$ 6.139,41",,,,,,
15.4,87905,SINAPI,"CHAPISCO APLICADO EM ALVENARIA (COM PRESENÇA DE VÃOS) E ESTRUTURAS DE CONCRETO DE FACHADA, COM COLHER DE PEDREIRO. ARGAMASSA TRAÇO 1:3 COM PREPARO EM BETONEIRA 400L. AF_10/2022",M2,"R$ 6,71","661,46","R$ 4.438,39","R$ 5.390,42",,,,,,
15.5,90406,SINAPI,"MASSA ÚNICA, EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO, APLICADA MANUALMENTE EM TETO, E = 17,5MM, COM TALISCAS. AF_03/2024",M2,"R$ 36,43","119,81","R$ 4.364,67","R$ 5.300,89",,,,,,
15.6,104951,SINAPI,"MASSA ÚNICA, EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO, APLICADA MANUALMENTE EM PAREDES INTERNAS DE AMBIENTES COM ÁREA MAIOR QUE 10M², E = 17,5MM, COM TALISCAS. AF_03/2024",M2,"R$ 28,04","1758,54","R$ 49.309,46","R$ 59.886,33",,,,,,
15.7,87545,SINAPI,"EMBOÇO, EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO, APLICADO MANUALMENTE EM PAREDES INTERNAS, PARA AMBIENTES COM ÁREA MENOR QUE 5M², E = 10MM, COM TALISCAS. AF_03/2024",M2,"R$ 24,71","55,72","R$ 1.376,84","R$ 1.672,17",,,,,,
15.8,87549,SINAPI,"EMBOÇO, EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO, APLICADO MANUALMENTE EM PAREDES INTERNAS DE AMBIENTES COM ÁREA ENTRE 5M² E 10M², E = 10MM, COM TALISCAS. AF_03/2024",M2,"R$ 21,08","227,34","R$ 4.792,32","R$ 5.820,27",,,,,,
15.9,87553,SINAPI,"EMBOÇO, EM ARGAMASSA TRAÇO 1:2:8, PREPARO MECÂNICO, APLICADO MANUALMENTE EM PAREDES INTERNAS DE AMBIENTES COM ÁREA MAIOR QUE 10M², E = 10MM, COM TALISCAS. AF_03/2024",M2,"R$ 18,91","38,74","R$ 732,57","R$ 889,70",,,,,,
16.0,,,VIDROS,,,,,,,"R$ 8.085,71","R$ 9.820,09",,,
16.1,P0001,UFCA,"ESPELHO CRISTAL ESPESSURA 4MM, COM MOLDURA EM ALUMINIO E COMPENSADO 6MM PLASTIFICADO COLADO COM ADESIVO PARA ESPELHO, A BASE DE POLIURETANO",M2,"R$ 609,42","10,44","R$ 6.362,34","R$ 7.727,06",,,,,,
16.2,P0002,UFCA,PAINEL EM VIDRO TEMPERADO ADESIVADO BRANCO 6 MM COM AFASTADOR 25 EM INOX FIXADO SOBRE ALVENARIA,M2,"R$ 280,68","6,14","R$ 1.723,37","R$ 2.093,03",,,,,,
17.0,,,PINTURA,,,,,,,"R$ 122.834,35","R$ 149.182,22",,,
17.1,88485,SINAPI,"FUNDO SELADOR ACRÍLICO, APLICAÇÃO MANUAL EM PAREDE, UMA DEMÃO. AF_04/2023",M2,"R$ 3,61","1832,08","R$ 6.613,80","R$ 8.032,46",,,,,,
17.10,88484,SINAPI,"FUNDO SELADOR ACRÍLICO, APLICAÇÃO MANUAL EM TETO, UMA DEMÃO. AF_04/2023",M2,"R$ 4,43","119,81","R$ 530,75","R$ 644,59",,,,,,
17.11,88496,SINAPI,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM TETO, DUAS DEMÃOS, LIXAMENTO MANUAL. AF_04/2023",M2,"R$ 25,32","119,81","R$ 3.033,58","R$ 3.684,28",,,,,,
17.12,104640,SINAPI,"PINTURA LÁTEX ACRÍLICA STANDARD, APLICAÇÃO MANUAL EM TETO, DUAS DEMÃOS. AF_04/2023",M2,"R$ 10,87","119,81","R$ 1.302,33","R$ 1.581,67",,,,,,
17.13,Q0001,UFCA,CAIAÇÃO EM DUAS DEMÃOS,M2,"R$ 5,41","86,93","R$ 470,29","R$ 571,16",,,,,,
17.14,102513,SINAPI,"PINTURA DE SÍMBOLOS E TEXTOS COM TINTA ACRÍLICA, DEMARCAÇÃO COM FITA ADESIVA E APLICAÇÃO COM ROLO. AF_05/2021",M2,"R$ 39,77","32,78","R$ 1.303,66","R$ 1.583,29",,,,,,
17.15,100718,SINAPI,COLOCAÇÃO DE FITA PROTETORA PARA PINTURA. AF_01/2020,M,"R$ 1,14","411,86","R$ 469,52","R$ 570,23",,,,,,
17.16,100722,SINAPI,PINTURA COM TINTA ALQUÍDICA DE FUNDO (TIPO ZARCÃO) APLICADA A ROLO OU PINCEL SOBRE SUPERFÍCIES METÁLICAS (EXCETO PERFIL) EXECUTADO EM OBRA (POR DEMÃO). AF_01/2020,M2,"R$ 20,09","290,92","R$ 5.844,58","R$ 7.098,24",,,,,,
17.17,100760,SINAPI,PINTURA COM TINTA ALQUÍDICA DE ACABAMENTO (ESMALTE SINTÉTICO BRILHANTE) APLICADA A ROLO OU PINCEL SOBRE SUPERFÍCIES METÁLICAS (EXCETO PERFIL) EXECUTADO EM OBRA (02 DEMÃOS). AF_01/2020,M2,"R$ 40,75","290,92","R$ 11.854,99","R$ 14.397,88",,,,,,
17.18,100717,SINAPI,LIXAMENTO MANUAL EM SUPERFÍCIES METÁLICAS EM OBRA. AF_01/2020,M2,"R$ 7,89","323,77","R$ 2.554,54","R$ 3.102,48",,,,,,
17.19,102193,SINAPI,LIXAMENTO DE MADEIRA PARA APLICAÇÃO DE FUNDO OU PINTURA. AF_01/2021,M2,"R$ 1,57","98,94","R$ 155,33","R$ 188,64",,,,,,
17.2,88415,SINAPI,APLICAÇÃO MANUAL DE FUNDO SELADOR ACRÍLICO EM PAREDES EXTERNAS DE CASAS. AF_03/2024,M2,"R$ 4,34","1575,90","R$ 6.839,40","R$ 8.306,45",,,,,,
17.20,102223,SINAPI,"PINTURA VERNIZ (INCOLOR) ALQUÍDICO EM MADEIRA, USO INTERNO E EXTERNO, 3 DEMÃOS. AF_01/2021",M2,"R$ 26,28","98,94","R$ 2.600,14","R$ 3.157,87",,,,,,
17.21,102494,SINAPI,"PINTURA DE PISO COM TINTA EPÓXI, APLICAÇÃO MANUAL, 2 DEMÃOS, INCLUSO PRIMER EPÓXI. AF_05/2021",M2,"R$ 46,45","28,00","R$ 1.300,60","R$ 1.579,57",,,,,,
17.3,88497,SINAPI,"EMASSAMENTO COM MASSA LÁTEX, APLICAÇÃO EM PAREDE, DUAS DEMÃOS, LIXAMENTO MANUAL. AF_04/2023",M2,"R$ 13,57","1798,32","R$ 24.403,20","R$ 29.637,68",,,,,,
17.4,88489,SINAPI,"PINTURA LÁTEX ACRÍLICA PREMIUM, APLICAÇÃO MANUAL EM PAREDES, DUAS DEMÃOS. AF_04/2023",M2,"R$ 10,75","1870,12","R$ 20.103,79","R$ 24.416,05",,,,,,
17.5,88416,SINAPI,"APLICAÇÃO MANUAL DE PINTURA COM TINTA TEXTURIZADA ACRÍLICA EM PANOS COM PRESENÇA DE VÃOS DE EDIFÍCIOS DE MÚLTIPLOS PAVIMENTOS, UMA COR. AF_03/2024",M2,"R$ 17,73","661,46","R$ 11.727,68","R$ 14.243,26",,,,,,
17.6,88417,SINAPI,"APLICAÇÃO MANUAL DE PINTURA COM TINTA TEXTURIZADA ACRÍLICA EM PANOS CEGOS DE FACHADA (SEM PRESENÇA DE VÃOS) DE EDIFÍCIOS DE MÚLTIPLOS PAVIMENTOS, UMA COR. AF_03/2024",M2,"R$ 15,05","714,21","R$ 10.748,86","R$ 13.054,49",,,,,,
17.7,95622,SINAPI,"APLICAÇÃO MANUAL DE TINTA LÁTEX ACRÍLICA EM PANOS COM PRESENÇA DE VÃOS DE EDIFÍCIOS DE MÚLTIPLOS PAVIMENTOS, DUAS DEMÃOS. AF_03/2024",M2,"R$ 12,38","200,87","R$ 2.486,77","R$ 3.020,18",,,,,,
17.8,102489,SINAPI,"PINTURA HIDROFUGANTE COM SILICONE, APLICAÇÃO MANUAL, 2 DEMÃOS. AF_05/2021",M2,"R$ 27,79","30,00","R$ 833,70","R$ 1.012,52",,,,,,
17.9,102491,SINAPI,"PINTURA DE PISO COM TINTA ACRÍLICA, APLICAÇÃO MANUAL, 2 DEMÃOS, INCLUSO FUNDO PREPARADOR. AF_05/2021",M2,"R$ 17,66","433,57","R$ 7.656,84","R$ 9.299,23",,,,,,
18.0,,,SERVIÇOS COMPLEMENTARES,,,,,,,"R$ 262.045,45","R$ 318.254,01",,,
18.1,,,DRENAGEM E ÁGUAS PLUVIAIS,,,,,,,,,,,
18.1.1,,,TUBOS,,,,,,,,,,,
18.1.1.1,89512,SINAPI,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 100 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022",M,"R$ 40,20","184,81","R$ 7.429,36","R$ 9.022,95",,,,,,
